ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,PUT,MEAN_REVERSION,2026-01-08T12:53:00-05:00,2026-01-08T13:05:00-05:00,2.4861,2.8641,10,0.420,690.59,689.69,0.1520,378.00,TIME_STOP,56,12.0,75.6,1.080,12.4,2.41
SPY,PUT,MEAN_REVERSION,2026-01-21T14:30:00-05:00,2026-01-21T14:34:00-05:00,2.4672,2.4210,10,0.420,685.32,685.43,-0.0187,-46.20,BREAKEVEN_STOP,73,4.0,87.7,1.490,13.9,2.07
SPY,PUT,MEAN_REVERSION,2026-01-21T14:36:00-05:00,2026-01-21T14:38:00-05:00,2.4686,2.1242,10,0.420,685.72,686.54,-0.1395,-344.40,STOP_LOSS,71,2.0,90.3,1.140,20.4,2.03
SPY,PUT,MEAN_REVERSION,2026-01-23T10:53:00-05:00,2026-01-23T11:05:00-05:00,2.4852,2.4096,10,0.420,690.33,690.51,-0.0304,-75.60,TIME_STOP,51,12.0,80.2,0.964,16.7,2.01
SPY,PUT,MEAN_REVERSION,2026-01-26T13:32:00-05:00,2026-01-26T13:44:00-05:00,2.4987,2.7213,10,0.420,694.07,693.54,0.0891,222.60,TIME_STOP,57,12.0,84.1,1.150,18.3,1.85
SPY,CALL,MEAN_REVERSION,2026-01-30T12:05:00-05:00,2026-01-30T12:17:00-05:00,2.4826,2.3776,10,0.420,689.61,689.36,-0.0423,-105.00,TIME_STOP,72,12.0,17.8,-0.117,16.9,-2.80
SPY,CALL,MEAN_REVERSION,2026-02-04T11:44:00-05:00,2026-02-04T11:50:00-05:00,2.4675,2.1651,10,0.420,685.42,684.70,-0.1226,-302.40,STOP_LOSS,66,6.0,23.2,-0.089,14.0,-2.73
SPY,CALL,MEAN_REVERSION,2026-02-04T11:52:00-05:00,2026-02-04T12:03:00-05:00,2.4668,3.1220,10,0.420,685.21,686.77,0.2656,655.20,TAKE_PROFIT,57,11.0,18.5,-0.056,17.3,-2.18
SPY,CALL,MEAN_REVERSION,2026-02-04T12:29:00-05:00,2026-02-04T12:32:00-05:00,2.4613,2.4277,10,0.420,683.70,683.62,-0.0137,-33.60,BREAKEVEN_STOP,64,3.0,19.0,-0.092,21.1,-2.51
SPY,PUT,MEAN_REVERSION,2026-02-06T12:32:00-05:00,2026-02-06T12:44:00-05:00,2.4799,2.6269,10,0.420,688.85,688.50,0.0593,147.00,TIME_STOP,52,12.0,79.2,1.160,19.2,2.00
SPY,CALL,MEAN_REVERSION,2026-02-10T13:20:00-05:00,2026-02-10T13:32:00-05:00,2.4979,2.3089,10,0.420,693.85,693.40,-0.0757,-189.00,TIME_STOP,63,12.0,13.2,-0.138,19.5,-1.92
SPY,CALL,MEAN_REVERSION,2026-02-12T10:38:00-05:00,2026-02-12T10:43:00-05:00,2.4884,2.1818,10,0.420,691.23,690.50,-0.1232,-306.60,STOP_LOSS,58,5.0,18.6,-0.068,21.3,-2.39
SPY,PUT,MEAN_REVERSION,2026-02-20T13:47:00-05:00,2026-02-20T13:59:00-05:00,2.4840,2.7780,10,0.420,690.00,689.30,0.1184,294.00,TIME_STOP,53,12.0,80.0,1.228,19.6,2.00
SPY,PUT,MEAN_REVERSION,2026-02-25T11:47:00-05:00,2026-02-25T11:59:00-05:00,2.4919,2.5549,10,0.420,692.19,692.04,0.0253,63.00,TIME_STOP,54,12.0,81.4,0.999,20.1,2.72
SPY,CALL,MEAN_REVERSION,2026-03-05T10:32:00-05:00,2026-03-05T10:40:00-05:00,2.4470,3.1148,10,0.420,679.72,681.31,0.2729,667.80,TAKE_PROFIT,56,8.0,20.6,-0.113,20.4,-2.17
SPY,CALL,MEAN_REVERSION,2026-03-05T12:31:00-05:00,2026-03-05T12:41:00-05:00,2.4395,2.3051,10,0.420,677.65,677.33,-0.0551,-134.40,BREAKEVEN_STOP,52,10.0,23.0,-0.035,17.4,-2.21
SPY,PUT,MEAN_REVERSION,2026-03-06T10:32:00-05:00,2026-03-06T10:37:00-05:00,2.4296,2.0768,10,0.420,674.90,675.74,-0.1452,-352.80,STOP_LOSS,60,5.0,76.8,0.994,12.9,2.48
SPY,PUT,MEAN_REVERSION,2026-03-06T10:39:00-05:00,2026-03-06T10:46:00-05:00,2.4322,3.0664,10,0.420,675.60,674.09,0.2608,634.20,TAKE_PROFIT,62,7.0,83.0,0.987,16.5,2.38
SPY,PUT,MEAN_REVERSION,2026-03-09T10:47:00-04:00,2026-03-09T10:59:00-04:00,2.4037,2.4499,10,0.420,667.69,667.58,0.0192,46.20,TIME_STOP,63,12.0,76.6,1.061,15.0,2.33
SPY,PUT,MEAN_REVERSION,2026-03-10T10:41:00-04:00,2026-03-10T10:53:00-04:00,2.4474,2.0820,10,0.420,679.83,680.70,-0.1493,-365.40,STOP_LOSS,51,12.0,77.2,1.003,21.5,2.43
SPY,CALL,MEAN_REVERSION,2026-03-11T13:38:00-04:00,2026-03-11T13:50:00-04:00,2.4247,3.1975,10,0.420,673.54,675.38,0.3187,772.80,TIME_STOP,60,12.0,16.7,-0.450,16.2,-1.82
